Entity,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,7480464,7571542,7667534,7764549,7864289,7971933,8087730,8210207,8333827,8468220,8622473,8790140,8969055,9157463,9355510,9565154,9783153,10010037,10247782,10494491,10752973,11015853,11286753,11575308,11869881,12157390,12425276,12687308,12938864,12986378,12486640,11155196,10088290,9951447,10243689,10512220,10448447,10322767,10383459,10673172,10694804,10745168,12057436,14003764,15455560,16418911,17106600,17788818,18493134,19262854,19542986,19688634,21000258,22645136,23553554,24411196,25442946,25903306,26427204,27385310,28189672,29249156,30466484,31541216,32716214,33753500,34636212,35643420,36686788,37769496,38972236,40099460,41128772
Africa,227549730,232484439,237586485,242837870,248245229,253848117,259631766,265515596,271429963,277648583,284288223,291177974,298334455,305755585,313466087,321447378,329658389,338159967,346980412,356070643,365450443,375086296,384930776,395212420,406069208,417556976,429573262,441701768,454463053,467976240,481543145,495655683,510540596,525335348,540183119,555652995,571646786,588080029,604511530,621167964,638157571,655040869,671931834,689140286,706488557,724331972,742765067,761224818,779908311,799099611,818952374,839464127,860611762,882349569,904781595,927898412,951740562,976461747,1001981577,1028200528,1055233717,1082676070,1110797495,1140180888,1170299297,1201108186,1232111820,1263333997,1295265310,1327701380,1360677453,1393676724,1426736614
Albania,1252587,1289175,1326957,1366747,1409011,1453732,1500625,1549575,1600986,1655022,1711189,1769076,1828234,1888302,1949020,2009793,2070694,2132447,2195474,2259797,2324733,2389820,2455181,2520442,2585457,2650128,2713564,2774798,2833317,2888764,2941650,2992391,3041188,3087904,3131731,3171727,3207129,3237677,3263019,3282187,3295073,3302087,3303738,3300715,3294001,3284370,3271336,3253721,3232185,3208265,3182027,3153615,3123554,3092993,3062629,3032636,3003391,2976089,2951690,2930553,2913402,2900660,2892191,2887019,2884100,2882482,2881064,2879361,2877019,2873883,2866850,2854710,2842318
Algeria,9019866,9271741,9521703,9771686,10011548,10242297,10473167,10703259,10933788,11164451,11394309,11598615,11778265,11969449,12179097,12381262,12613398,12897121,13190979,13491022,13795915,14110269,14439750,14786473,15153601,15724698,16500516,17134196,17632646,18166982,18739378,19351356,20000098,20682110,21393532,22132910,22882560,23586098,24243024,24889516,25518074,26133906,26748302,27354326,27937006,28478024,28984640,29476030,29924664,30346086,30774624,31200984,31624700,32055882,32510184,32956690,33435082,33983836,34569592,35196040,35856348,36543548,37260568,38000628,38760168,39543148,40339328,41136548,41927008,42705372,43451668,44177964,44903228
American Samoa,19057,19447,19587,19695,19783,19855,19922,19965,19942,19904,20107,20653,21290,21969,22682,23414,24147,24864,25631,26417,27098,27618,28083,28553,29040,29596,30222,30838,31449,32071,32908,34080,35388,36755,38193,39688,41240,42859,44564,46310,47841,49016,50096,51195,52311,53421,54523,55595,56626,57617,58251,58342,58200,57962,57653,57277,56857,56402,55909,55386,54871,54334,53718,53017,52234,51391,50468,49486,48445,47341,46216,45056,44295
Andorra,6028,5848,5475,5335,5590,6139,6730,7353,8020,8723,9473,10238,11037,11865,12718,13585,14569,15768,17103,18471,19885,21346,22855,24413,26025,27664,29314,30971,32597,34167,35639,37008,38617,40456,42202,43834,45625,47659,49680,51661,53590,55455,57305,59177,61057,62944,64166,64702,65204,65675,66116,67841,70868,73929,76950,79845,80241,78187,76073,73879,71542,70587,71035,71385,71644,71766,72563,73853,75034,76361,77723,79057,79843
Angola,4478186,4569744,4663968,4758721,4850457,4938121,5022111,5104334,5185843,5269954,5357201,5441328,5521405,5599831,5673208,5736588,5787056,5827502,5868201,5928387,6029702,6177053,6364736,6578237,6802495,7032728,7266788,7511898,7771595,8043223,8330053,8631461,8947154,9276704,9617709,9970631,10332577,10694060,11060263,11439505,11828643,12228698,12632509,13038277,13462032,13912258,14383352,14871148,15366866,15870759,16394067,16941584,17516140,18124346,18771128,19450962,20162338,20909692,21691524,22507674,23364196,24259120,25188298,26147012,27128340,28127724,29154742,30208634,31273538,32353592,33428490,34503776,35588996
Anguilla,5036,5264,5423,5547,5685,5775,5811,5815,5803,5782,5773,5817,5878,5935,5988,6037,6092,6148,6201,6249,6302,6355,6388,6423,6450,6483,6516,6548,6557,6574,6583,6596,6608,6627,6717,6935,7193,7460,7743,8041,8340,8638,8911,9144,9381,9625,9886,10152,10438,10744,11071,11367,11583,11761,11957,12149,12347,12546,12754,12970,13192,13363,13479,13727,14143,14554,14842,15040,15201,15408,15612,15779,15877
Antigua and Barbuda,45456,46422,47380,48338,49296,50284,51265,52261,53280,54321,55356,56264,57029,57794,58682,59664,60638,61634,62675,63763,64536,64782,64712,64484,64232,64053,64011,64138,64351,64631,64907,65092,65246,65426,65379,65068,64732,64373,64002,63657,63346,63653,64676,65849,67091,68417,69817,71233,72589,73833,75070,76227,77216,78095,78955,79879,80909,82035,83267,84546,85710,86749,87688,88512,89252,89958,90575,91133,91644,92127,92672,93229,93772
Argentina,17017748,17354614,17693856,18032748,18369248,18700684,19031200,19363792,19695358,20024528,20349748,20680658,21020364,21364018,21708488,22053662,22403120,22757014,23112976,23472030,23842804,24223380,24612798,25020592,25449752,25875562,26290258,26713780,27146124,27584138,28024808,28471284,28922768,29377144,29832200,30287120,30748332,31216450,31690790,32165770,32637658,33105766,33568280,34027240,34488696,34946116,35389360,35815968,36233196,36653032,37070772,37480492,37885024,38278164,38668796,39070504,39476856,39876116,40273768,40684344,41100124,41520736,41952364,42388268,42824064,43257064,43668236,44054616,44413592,44745516,45036032,45276788,45510324
Armenia,1385038,1424011,1465071,1508561,1554929,1604375,1657523,1714536,1774821,1838241,1904150,1971533,2039356,2106147,2171033,2234051,2295504,2355997,2416461,2476361,2534383,2590931,2648056,2706854,2767650,2830798,2896316,2965526,3038231,3097063,3135123,3167876,3202010,3238295,3272111,3300901,3327186,3351374,3366840,3448188,3556544,3617638,3574558,3457344,3373715,3322788,3298903,3271422,3240550,3206033,3168525,3133138,3105040,3084107,3065748,3047254,3026490,3004398,2983425,2964300,2946296,2928984,2914428,2901386,2889937,2878598,2865841,2851929,2836563,2820604,2805610,2790971,2780472
