,Year,gdp,gdp per capita,population,life expectancy
0,1970,18679593258.323906,179674.11735869,3579269593.0,59.26852884615385
1,1971,20758605665.175377,200522.48448620999,3651136065.0,59.642682692307694
2,1972,23979868055.08628,233966.08264027,3722771175.0,60.01229326923077
3,1973,29230405415.508156,293979.95813041006,3795182261.0,60.377533653846164
4,1974,33389864899.68916,368276.16423234006,3867374372.0,60.73960576923077
5,1975,37327103739.760025,404777.43381561,3938111852.0,61.101028846153845
6,1976,40479884391.98953,436219.5639932,4007878918.0,61.46473076923077
7,1977,45648426213.21687,479824.61323439993,4077791161.0,61.83186057692308
8,1978,54495388852.43665,541762.4330197999,4148265374.0,62.202302884615385
9,1979,63075919674.96151,643030.8576730299,4220907527.0,62.57478846153846
10,1980,71327984348.45721,742378.9660799899,4296032166.0,62.94811057692308
11,1981,73114539293.62724,718010.2101978001,4373150716.0,63.320846153846155
12,1982,71988124634.52675,686349.4017207,4452924292.0,63.688937499999994
13,1983,73557965251.61119,667299.8513594001,4533104187.0,64.04744230769231
14,1984,76255881508.31917,659345.3317651,4613247738.0,64.39153365384615
15,1985,79186052679.17197,660208.2900630999,4695277080.0,64.71374038461539
16,1986,92929670275.01753,771011.8069143,4779675057.0,65.00665384615385
17,1987,106193910252.19376,893953.3431330002,4866564644.0,65.2683028846154
18,1988,119509205326.81859,984479.4214828999,4953822049.0,65.49992307692308
19,1989,124848137494.29552,1009861.5503735,5041213381.0,65.70455769230769
20,1990,128114880739.13089,1211376.366746,5129618811.0,65.8876875
21,1991,134487507175.02289,1230455.79773441,5215595484.0,66.05672596153846
22,1992,143790421344.14362,1294189.40535344,5297944827.0,66.2213173076923
23,1993,145962763938.97568,1242687.71091,5378434523.0,66.39039903846154
24,1994,156725506420.16788,1318266.0629649,5457320417.0,66.57015384615384
25,1995,173401218073.89728,1479184.1885355,5535682572.0,66.7644423076923
26,1996,176617338705.7412,1517570.9328574003,5613954946.0,66.97400961538462
27,1997,175696427863.78705,1477189.4993167003,5691667955.0,67.19604326923077
28,1998,175669684386.34177,1497170.8328855,5768911014.0,67.42871153846154
29,1999,182107976294.2142,1533910.3519515,5845973192.0,67.67322596153846
30,2000,186866033127.33475,1514830.2541708,5923673281.0,67.93123557692307
31,2001,186488754452.12457,1508274.7548520998,6002082795.0,68.20466826923077
32,2002,193405745808.54822,1592082.0096948699,6080337734.0,68.49371153846154
33,2003,217330939627.92014,1850531.55856935,6158376345.0,68.79758173076922
34,2004,244163527823.50854,2103471.34994949,6236683398.0,69.11521634615384
35,2005,261735881287.00705,2296146.4042368,6315490437.0,69.44652884615385
36,2006,282958876080.66895,2485345.8906026003,6394758288.0,69.7915673076923
37,2007,318351370186.566,2842776.4470155006,6474878790.0,70.14740384615385
38,2008,346097938143.7103,3116258.3786538,6556603785.0,70.50966826923076
39,2009,328473613269.50604,2757252.1286415,6639833250.0,70.87333173076922
40,2010,358266299884.9421,2870534.33663405,6723398115.0,71.23261057692308
41,2011,398931500982.4703,3144965.6022236096,6807163967.0,71.58223557692308
42,2012,406788703052.5094,3086376.6062865998,6892432201.0,71.91834134615384
43,2013,418395371000.4516,3188813.7827036,6978914490.0,72.23753846153846
44,2014,429132152649.195,3235665.7610413004,7065081811.0,72.53672115384616
45,2015,405085726504.71014,2903912.5946095,7149599039.0,72.81323557692308
46,2016,412200157881.7986,2933672.2234605,7232758310.0,73.06598557692307
47,2017,439654655366.0804,3087452.5240601,7315529869.0,73.2979471153846
48,2018,468307781005.2926,3280482.9922344,7396192541.0,73.51287019230769
49,2019,475806981105.5251,3257482.3091327995,7473813064.0,73.71340865384614
